Species/,Origin,L,W,Collection,,Experiment,,,,,,
morph,,(mm),(mg),,,,,,,,,
"",,,,Date,T (°C),Date,T (°C),C(0) (μg/L),F A (ml/cm /h) 2,,,FA (ml/mg/h)
Zebra,HR,17.8,12.40,27 Mar 07,10,4 May 07,3.0,2.20,32.21±0.50,,,8.34±0.72
Qp,LM,20.1,12.50,26 Apr 07,3,4 May 07,3.0,2.21,35.88±1.79,,,11.58±0.48
Qp,LM,22.4,19.30,8 Apr 08,2,7 May 08,2.0,1.25,21.44±5.95,,,5.54 ±1.55
Qp,LM,21.9,18.06,8 Apr 08,2,14 May 08,1.0,3.49,35.18±3.38,,,9.23±0.95
Qs,LE,20.9,,22 Apr 08,10,8 May 08,2.0,3.26,39.18±1.46,,,–
Qs,LE,22.0,,22 Apr 08,10,13 May 08,1.0,2.49,39.37±3.50,,,–
Qp,LM,21.9,17.01,30 Apr 08,4,2 May 08,4.0,2.50,47.68±2.90,,,13.40±1.14
Qp,LM,13.8,4.02,12 Aug 08,5.3,14 Aug 08,5.4,1.01,44.31±6.53,,,20.88±3.23
Qp,LM,21.3,12.52,12 Aug 08,5.3,14 Aug 08,5.4,1.06,55.97±4.68,,,20.26±1.48
Qp,LM,13.8,4.02,12 Aug 08,5.3,18 Aug 08,7.0,1.02,49.22±1.57,,,23.10±0.75
Qp,LM,21.3,12.52,12 Aug 08,5.3,18 Aug 08,7.0,1.02,72.35±1.68,,,26.05±0.93
